# Reference      Predicted      Error          #atoms         
-58.77762       -54.87926       3.89836         10.00000       
-59.36402       -52.36780       6.99621         10.00000       
-58.45004       -52.62330       5.82674         10.00000       
-58.89028       -54.95433       3.93594         10.00000       
-58.54569       -55.76756       2.77813         10.00000       
-58.82070       -52.99752       5.82317         10.00000       
-59.09556       -53.61151       5.48405         10.00000       
-59.36325       -54.68502       4.67823         10.00000       
-58.95761       -51.02597       7.93164         10.00000       
-58.63333       -53.33101       5.30232         10.00000       
-58.89572       -51.46078       7.43495         10.00000       
-58.57498       -52.20095       6.37403         10.00000       
-59.00634       -54.66803       4.33832         10.00000       
-58.81955       -52.50126       6.31830         10.00000       
-59.47889       -53.80470       5.67419         10.00000       
-58.62556       -48.26953       10.35604        10.00000       
-51.30504       -54.92540       3.62036         10.00000       
-59.16456       -49.12377       10.04080        10.00000       
-58.68236       -52.46761       6.21475         10.00000       
-59.08055       -54.24024       4.84031         10.00000       
-49.61680       -55.03768       5.42088         10.00000       
-51.61556       -53.43246       1.81690         10.00000       
-48.83721       -49.34825       0.51104         10.00000       
-50.57454       -52.29753       1.72298         10.00000       
-51.73826       -54.31536       2.57710         10.00000       
-49.76437       -50.30370       0.53934         10.00000       
-51.68370       -54.65257       2.96887         10.00000       
-50.02758       -55.80394       5.77636         10.00000       
-58.44687       -55.47798       2.96889         10.00000       
-49.94678       -51.35584       1.40905         10.00000       
-48.86889       -54.69272       5.82383         10.00000       
-47.39991       -49.93042       2.53051         10.00000       
-51.09273       -55.44099       4.34826         10.00000       
-49.62888       -50.34206       0.71318         10.00000       
-48.59033       -51.01015       2.41982         10.00000       
-50.43328       -50.47797       0.04468         10.00000       
-50.40080       -50.89324       0.49244         10.00000       
-49.88696       -50.73556       0.84860         10.00000       
-50.85362       -52.42715       1.57354         10.00000       
-50.92615       -55.42257       4.49642         10.00000       
-51.01100       -52.22595       1.21495         10.00000       
-50.31549       -51.20517       0.88968         10.00000       
-51.28912       -53.29169       2.00256         10.00000       
-51.53476       -53.89327       2.35851         10.00000       
-50.42942       -54.14544       3.71602         10.00000       
-48.56650       -51.66011       3.09361         10.00000       
-51.57786       -54.27208       2.69422         10.00000       
-48.87221       -50.63601       1.76380         10.00000       
-51.29787       -54.65940       3.36153         10.00000       
-59.30773       -60.81418       1.50645         10.00000       
-51.59519       -53.31306       1.71786         10.00000       
-49.39498       -54.84194       5.44696         10.00000       
-59.13498       -60.70302       1.56804         10.00000       
-50.43483       -56.36674       5.93191         10.00000       
-60.74112       -60.66438       0.07674         10.00000       
